WARNING 2024-05-23 11:14:18,926 log Not Found: /en/send_teacher_notification/
INFO 2024-05-23 11:14:21,618 autoreload C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\main_app\teacher_views.py changed, reloading.
DEBUG 2024-05-23 11:14:21,619 proactor_events Using proactor: IocpProactor
INFO 2024-05-23 11:14:22,919 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-23 11:14:23,728 factory Not in REPL -> leaving logger event level as is.
DEBUG 2024-05-23 11:14:23,732 factory Looking for locale `en_US` in provider `faker.providers.address`.
DEBUG 2024-05-23 11:14:23,742 factory Provider `faker.providers.address` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,745 factory Looking for locale `en_US` in provider `faker.providers.automotive`.
DEBUG 2024-05-23 11:14:23,757 factory Provider `faker.providers.automotive` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,759 factory Looking for locale `en_US` in provider `faker.providers.bank`.
DEBUG 2024-05-23 11:14:23,765 factory Specified locale `en_US` is not available for provider `faker.providers.bank`. Locale reset to `en_GB` for this provider.
DEBUG 2024-05-23 11:14:23,767 factory Looking for locale `en_US` in provider `faker.providers.barcode`.
DEBUG 2024-05-23 11:14:23,768 factory Provider `faker.providers.barcode` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,771 factory Looking for locale `en_US` in provider `faker.providers.color`.
DEBUG 2024-05-23 11:14:23,775 factory Provider `faker.providers.color` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,776 factory Looking for locale `en_US` in provider `faker.providers.company`.
DEBUG 2024-05-23 11:14:23,783 factory Provider `faker.providers.company` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,784 factory Looking for locale `en_US` in provider `faker.providers.credit_card`.
DEBUG 2024-05-23 11:14:23,786 factory Provider `faker.providers.credit_card` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,789 factory Looking for locale `en_US` in provider `faker.providers.currency`.
DEBUG 2024-05-23 11:14:23,793 factory Provider `faker.providers.currency` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,795 factory Looking for locale `en_US` in provider `faker.providers.date_time`.
DEBUG 2024-05-23 11:14:23,801 factory Provider `faker.providers.date_time` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,803 factory Provider `faker.providers.emoji` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:23,803 factory Provider `faker.providers.file` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:23,804 factory Looking for locale `en_US` in provider `faker.providers.geo`.
DEBUG 2024-05-23 11:14:23,806 factory Provider `faker.providers.geo` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,807 factory Looking for locale `en_US` in provider `faker.providers.internet`.
DEBUG 2024-05-23 11:14:23,814 factory Provider `faker.providers.internet` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,816 factory Provider `faker.providers.isbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:23,816 factory Looking for locale `en_US` in provider `faker.providers.job`.
DEBUG 2024-05-23 11:14:23,822 factory Provider `faker.providers.job` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,824 factory Looking for locale `en_US` in provider `faker.providers.lorem`.
DEBUG 2024-05-23 11:14:23,828 factory Provider `faker.providers.lorem` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,831 factory Looking for locale `en_US` in provider `faker.providers.misc`.
DEBUG 2024-05-23 11:14:23,833 factory Provider `faker.providers.misc` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,833 factory Looking for locale `en_US` in provider `faker.providers.passport`.
DEBUG 2024-05-23 11:14:23,835 factory Provider `faker.providers.passport` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,836 factory Looking for locale `en_US` in provider `faker.providers.person`.
DEBUG 2024-05-23 11:14:23,846 factory Provider `faker.providers.person` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,849 factory Looking for locale `en_US` in provider `faker.providers.phone_number`.
DEBUG 2024-05-23 11:14:23,859 factory Provider `faker.providers.phone_number` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,861 factory Provider `faker.providers.profile` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:23,862 factory Provider `faker.providers.python` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:23,863 factory Provider `faker.providers.sbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:23,863 factory Looking for locale `en_US` in provider `faker.providers.ssn`.
DEBUG 2024-05-23 11:14:23,872 factory Provider `faker.providers.ssn` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:23,874 factory Provider `faker.providers.user_agent` does not feature localization. Specified locale `en_US` is not utilized for this provider.
INFO 2024-05-23 11:14:41,805 autoreload C:\Users\total\Documents\Work\Clones\CollegeManagement-Django\main_app\teacher_views.py changed, reloading.
DEBUG 2024-05-23 11:14:41,806 proactor_events Using proactor: IocpProactor
INFO 2024-05-23 11:14:43,051 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-23 11:14:43,879 factory Not in REPL -> leaving logger event level as is.
DEBUG 2024-05-23 11:14:43,882 factory Looking for locale `en_US` in provider `faker.providers.address`.
DEBUG 2024-05-23 11:14:43,896 factory Provider `faker.providers.address` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:43,900 factory Looking for locale `en_US` in provider `faker.providers.automotive`.
DEBUG 2024-05-23 11:14:43,910 factory Provider `faker.providers.automotive` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:43,912 factory Looking for locale `en_US` in provider `faker.providers.bank`.
DEBUG 2024-05-23 11:14:43,920 factory Specified locale `en_US` is not available for provider `faker.providers.bank`. Locale reset to `en_GB` for this provider.
DEBUG 2024-05-23 11:14:43,922 factory Looking for locale `en_US` in provider `faker.providers.barcode`.
DEBUG 2024-05-23 11:14:43,924 factory Provider `faker.providers.barcode` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:43,928 factory Looking for locale `en_US` in provider `faker.providers.color`.
DEBUG 2024-05-23 11:14:43,934 factory Provider `faker.providers.color` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:43,936 factory Looking for locale `en_US` in provider `faker.providers.company`.
DEBUG 2024-05-23 11:14:43,943 factory Provider `faker.providers.company` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:43,945 factory Looking for locale `en_US` in provider `faker.providers.credit_card`.
DEBUG 2024-05-23 11:14:43,948 factory Provider `faker.providers.credit_card` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:43,950 factory Looking for locale `en_US` in provider `faker.providers.currency`.
DEBUG 2024-05-23 11:14:43,956 factory Provider `faker.providers.currency` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:43,958 factory Looking for locale `en_US` in provider `faker.providers.date_time`.
DEBUG 2024-05-23 11:14:43,970 factory Provider `faker.providers.date_time` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:43,974 factory Provider `faker.providers.emoji` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:43,976 factory Provider `faker.providers.file` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:43,979 factory Looking for locale `en_US` in provider `faker.providers.geo`.
DEBUG 2024-05-23 11:14:43,985 factory Provider `faker.providers.geo` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:43,987 factory Looking for locale `en_US` in provider `faker.providers.internet`.
DEBUG 2024-05-23 11:14:44,003 factory Provider `faker.providers.internet` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:44,007 factory Provider `faker.providers.isbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:44,010 factory Looking for locale `en_US` in provider `faker.providers.job`.
DEBUG 2024-05-23 11:14:44,022 factory Provider `faker.providers.job` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:44,024 factory Looking for locale `en_US` in provider `faker.providers.lorem`.
DEBUG 2024-05-23 11:14:44,030 factory Provider `faker.providers.lorem` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:44,033 factory Looking for locale `en_US` in provider `faker.providers.misc`.
DEBUG 2024-05-23 11:14:44,035 factory Provider `faker.providers.misc` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:44,037 factory Looking for locale `en_US` in provider `faker.providers.passport`.
DEBUG 2024-05-23 11:14:44,039 factory Provider `faker.providers.passport` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:44,041 factory Looking for locale `en_US` in provider `faker.providers.person`.
DEBUG 2024-05-23 11:14:44,055 factory Provider `faker.providers.person` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:44,058 factory Looking for locale `en_US` in provider `faker.providers.phone_number`.
DEBUG 2024-05-23 11:14:44,069 factory Provider `faker.providers.phone_number` has been localized to `en_US`.
DEBUG 2024-05-23 11:14:44,071 factory Provider `faker.providers.profile` does not feature localization. Specified locale `en_US` is not utilized for this provider.
DEBUG 2024-05-23 11:14:44,071 factory Provider `faker.providers.python` does not feature localization. Specified locale `en_US` is not utilized for this provider.
